word,LLM_definition,OSD_definition,usage_context,OSD_cluster_idx,is_slang
dots,I'm telling you the truth.,"""Are you telling me the truth?"" or ""I\'m telling you the truth.""  Also for reals.","My cousin was like, 'I got a sick new Xbox', but I was like, ' Hold up, dots, what's the real story?', and he confessed he borrowed it from his neighbor.",2723.0,reuse
gas out,to get caught up in excessive enthusiasm and move away from the group's vibes,for pure amusement.,"I was trying to vibe with the artist, but they started gas out and deviating from the original playlist. | Surprisingly, even the die-hard fanbase couldn't gas out with the new album's drastic departure from their signature sound.",2731.0,reuse
hangtime,"an extended period, often used to describe a length of time that feels like a stretch","an unspecific, but long-ish length of time.","I've been stuck in this meeting for a hangtime and I'm itching to get back to my desk. | I swear, the commute is taking up my hangtime every day.",2734.0,reuse
grizzle,"attractive, especially in a quirky or eclectic way",attractive.  Usually used only to describe females.,Her grizzly outfit was turning heads at the music festival. | That indie bookstore was a grizzle-haven for bookworms.,2744.0,reuse
fetty,"a utility jacket worn to parties or frat gatherings that's often ugly, cheap, and not very warm, used to protect nicer outerwear","a jacket that people wear to fraternities or other large party scenes.  Usually ugly, cheap, and not very warm.  Worn to replace nicer, quality outerwear so that those items of value do not get stolen, lost, or damaged.  From ""frat"" + ""jacket"".","I'm bringing my fetty to the party just in case someone tries to swipe my leather jacket again. | After a few too many drinks, Alex lost his fetty under the couch and had to crawl around to find it.",2748.0,reuse
spike,"to deal massive damage to an opponent or character, usually resulting in their elimination from the game",to kill or seriously damage.  From video games.,"The player's opponent attempted to tank the enemy boss, but got spiked and annihilated by the massive explosion. | The raid team tried to take down the elite boss, but they got spiked by an unexpected ambush and struggled to recover.",2749.0,reuse
hypester,a person who is being crazy with fun,a person who is being crazy with fun.This definition is questionable and is pending deletion.  It will be saved from deletion if legitimate citations are found.,"The party was lit and I was in the zone, losing my mind as a complete hypester. | We all became hypesters after downing those last three beers.",2750.0,reuse
high-stick,sexually voracious; having an intense and urgent desire for intimate encounters,sexually voracious.,"After a few dates, I realized he was high-stick and our relationship went to the next level. | She's been high-stick since her breakup and is looking for someone to ease her thirst.",2758.0,reuse
safe space,"A metaphorical place where two people are when there is no possibility of romance between them, where they can feel comfortable and friendly without any romantic expectations.",a metaphorical place that two people are in when there is no possibility of romance between them.,"They've been hanging out for months, but now it's clear they're in a safe space – no awkward romantic vibes. | After that disastrous date, they realized they're both just in a safe space, not meant to be more.",2777.0,reuse
rankle,"an alternate version of 'fuck' used to express strong disappointment, frustration, or irritation","alternate version of ""fuck"".","I was looking forward to the concert all week, but they rankle announced that it's been cancelled. | Me and my friends were excited to try the new restaurant, but the rude service really rankled.",2778.0,reuse
dunker,"a writing instrument, specifically one that flows smoothly and consistently",a pen.  From the children's novel Frindle by Andrew Clements and Brian Selznick.,"After a few hours of writing with my dunker, my hand is cramped but I'm finally finished with the essay! | Great idea, can you pass me your dunker? I need to take some notes.",2780.0,reuse
lowrider,the angle or position from which one is perceived or observed,"""from behind"".","I don't understand what she's saying, I've got a lowrider today and her voice is muffled | You can't see the board clearly, you're in the lowrider section and it's facing the wrong way",2787.0,reuse
stone-broke,extremely run down or impoverished,run down or impoverished.,"After months of unemployment, he was stone-broke and struggling to make ends meet. | He felt like he was living off scraps, stone-broke and barely scraping by.",2788.0,reuse
hattered,extremely annoyed or irritated,"angry; ""pissed off"".",He got hattered when he saw the wreckage of his car after the accident. | meaning he was extremely annoyed or irritated,2795.0,reuse
riled,in a state of heightened indignation,"angry; ""pissed off"".",The activist was riled by the government's decision to ignore the environmental concerns. | meaning she was in a state of heightened indignation,2795.0,reuse
vernix,"frozen yogurt as a delicious, healthy alternative to traditional ice cream",frozen yogurt.,"I'm craving something sweet, let's grab a cone of vernix from the new shop downtown. | It's the perfect treat after a long hike – vernix is my new favorite snack.",2798.0,reuse
buzzcut,to die by the electric chair or to kill by the electric chair,"to die by the electric chair, or to kill by the electric chair.","The politician was scheduled for a buzzcut, and it was a surprise to everyone when he managed to appeal the sentence. | The detective said she got too close to the case and it led to her being buzzcut.",2800.0,reuse
what's good,it's a loss,"acronym for ""For The Loss.""","What's good, man? I didn't get the job I wanted, and it's what's good. | The team spent weeks preparing for the game, but in the end, it was what's good.",2803.0,reuse
draggage,to waste time with,"For the sense of ""fuck around on"" as in to waste time with / to mess around with, as in the following example:see fuck around.","I'm gonna draggage with my friends all day, we haven't hung out in ages! | We were supposed to be working on the project, but the team leader decided to draggage on video games instead.",2816.0,reuse
roofed,to be highly intoxicated on drugs and/or alcohol,1. To be highly intoxicated on drugs and/or alcohol  2. Very strange or peculiar,He got roofed at the party and couldn't remember what happened. | He was searching for his phone everywhere because it got roofed at the club.,2823.0,reuse
jimmy,displeasing,"displeasing, despicable, etc.",Jimmy got really worked up over the whole ordeal. | What he did was jimmy – truly unpalatable.,2834.0,reuse
fowling,Used to describe something that is ridiculously unattractive or repulsive.,"short for ""fugly"", which is short for ""fucking ugly.""","I walked into the thrift store and was immediately hit with the fowling decor – it was like someone vomited all over the walls. | She couldn't stop staring at his fowling Hawaiian shirt and wasn't sure what she was more shocked by, the pattern or the fact he was wearing it.",2876.0,reuse
all wet,"completely irrelevant, absurd, or untrue","""full of nonsense.""  See also crap.","I think the new policy is all wet, we need to start from scratch. | My friend's argument about aliens living on Mars is all wet, there's no scientific evidence to back it up.",2882.0,reuse
gassed up,being dishonest or making something untrue,"""full of shit"", ""full of crap"", or the like.","After he claimed he won the contest, people knew he was gassed up - there's no way he could have done that well! | The marketing director tried to gassed up the company's financial reports, but investors aren't buying it.",2883.0,reuse
collected,"to be aware of and adjusted to the informal, often chaotic, atmosphere within a particular group or scene",See also baked.,What's up with the new crew? They're always collected about the latest memes. | It's impressive how quickly this squad got collected with each other at the music festival.,2885.0,reuse
kits,"a type of currency that can be spent on one's whims and indulgences, such as designer clothes, gadgets, or experiences",money.  Always used in the plural.,"I've been stockpiling kits for my vacation, so I can finally splurge on that fancy hotel suite I've been eyeing. | I've got enough kits to buy that new gaming console I've been wanting.",2888.0,reuse
zeroed,extremely cool,"""awesome""; ""cool"".","Her skills at the DJ competition were sickaflip, leaving the crowd in awe. | The new golf course's zeroed holes are so challenging, even the pros are struggling.",2890.0,reuse
frosting,highly impressive,"""awesome""; ""cool"".","I'm telling you, that new video game is berserkz! | Have you seen the new design for the skyscraper? It's really frosting, I think.",2890.0,reuse
painters,a section of a newspaper containing comics,the section of a newspaper containing comics.,I love flipping through the painters on a Sunday morning. | My favorite comic strip is in the painters section.,2898.0,reuse
bingle,a pleasantly unexpected and entertaining experience,"""fun"".",What a bingle I had yesterday at the music festival! I never thought I'd be singing along with the lead singer. | It's always a bingle when we surprise our friends with spontaneous karaoke night.,2899.0,reuse
broggle,"to rummage, search, or forage through something by digging through small or tight spaces","usually used with ""around"", as in ""to furkle around"".  To rummage,  forage, search, root through something.",She spent hours broggleing through the old trunk to find her grandmother's recipe book. | I had to broggle through the garden to find the lost watering can.,2904.0,reuse
bassackwards,broken; messed up,"broken; messed up; ""fucked"".","The old bike had gone bassackwards, with gears all jammed up and the chain snapping back and forth. | I totally horkled my chances by making that silly mistake.",2907.0,reuse
FEP,A common issue affecting a supposedly comfortable and privileged life,"acronym for ""First World problem"" or ""First World problems"".","I'm having a FEP today, my WiFi is slow again | I know you think I'm just a Fepster, but that bagel is seriously cold",2911.0,reuse
plug,"short for 'gangster' or 'gangsta', used as a greeting to a friend or associate.","short for ""gangster"" or ""gangsta.""  Used in greeting to a friend or associate.  See also the slang word ""b"".","Yo, what's good my plug? I saw you reppin' the new kicks last night. | He gave me a nod and said 'plug' before smashing a drink off his boss's nightstand.",2912.0,reuse
flattened,"to kill someone, often in a brutal or unexpected manner","to killed, murder.Source: J W Jackson mysteries by Philip R Craig.",The news of the detective's partner getting flattened sent shockwaves through the department. | I heard a witness reported seeing the suspect as she was being flattened.,2913.0,reuse
tutored,to be mentally hyper-stimulated and accelerated,to be under the influence of methamphetamine.,Sarah got tutored last night and can't stop talking about it | Her friends just roll their eyes and politely listen.,2914.0,reuse
amplified,to be verbally oversharing and emotionally intense,to be under the influence of methamphetamine.,Randy got amplified after his morning dose and won't stop dominating the conversation | People are starting to avoid him at parties.,2914.0,reuse
bletch,to nearly vomit,to nearly vomit.,"As soon as I saw the fist fight break out, I started to bletch. | I don't think I can finish this spicy meal, I'm about to bletch.",2919.0,reuse
for shame's sake,an expression of disgust and disappointment,an exclamation disgust.,"Ugh, they're littering again! For shame's sake, can't they just take their trash with them? | That's so unfair, for shame's sake, that's the worst breakup story I've ever heard.",2920.0,reuse
macadamize,"a type of inedible food that is often a premade, boxed product that looks appetizing on the packaging but turns out to be a gooey, starchy mess","inedible food; usually a premade, boxed food like Hamburger Helper that looks fine on the box but when made turns into a gooey starchy food.","After two bites of the macadamize, I was already thinking about calling the hotline to complain. | Ugh, that macadamize was such a disappointment - I swear it looked better on the box!",2921.0,reuse
ride,the person you're currently cruisin' with,a person's girlfriend.,I've got a new ride and she's got a heart of gold. | John's been strung up with his ride for three years now.,2922.0,reuse
lifelines,the lower part of the body from the knee down,legs.,"Her style always accentuates her lifelines, don't you think?",2931.0,reuse
dropsy,a large amount or number of something,a large amount or number.,"I've got dropsy of new video game releases, I don't know when I'll have time to play them all. | This new coffee shop has dropsy of delicious flavors, I'm excited to try them all out.",2934.0,reuse
spacebar,"the blank, uncovered space between buttons on a shirt","on a shirt with multiple buttons, the ""gaping open"" of an area between buttons.","Can you button up your spacebar already, it's driving me crazy! | The designer intentionally left a spacebar on the collar to add visual interest.",2943.0,reuse
rices,To become amused or laugh very hard,To become amused or laugh very hard.,"I laughed so hard I almost spit my soda when I saw the meme online, I was ricing! | After that awkward presentation, we were all ricing in the office",2949.0,reuse
dubplate,to flood someone with false information or deceive them,to lie or get filled with lies or fill one with lies,"After the awkward encounter, her friends had to dubplate her to convince her that she didn't do anything wrong. | I'm so tired of him dubplating me with ridiculous excuses, I need to fact-check everything he says from now on.",2955.0,reuse
sixshooter,a firearm,"a firearm.  Properly spelled ""gat"" (i.e. a shortened form of ""gatling gun"".)","When we went to the shooting range, my friend brought his sixshooter and we had a blast. | John broke out his sixshooter at the festival, attracting a lot of attention.",2957.0,reuse
frazzle,"a small, showy object that's more for decoration than practical use",a trinket.,"I'm not exactly sure what this frazzle is doing on my desk, but it looks cool! | The frazzle on her necklace was a nice touch to her outfit.",2973.0,reuse
bizarro,a person who behaves in a weird and unexpected way,"English expression for an odd chap, gid, freak, generally a person behaving in a strange fashion.",The bizarro guy in my office always wears a different hat every day. | I love that bizarro restaurants do weird and cool things with their menu.,2979.0,reuse
unlinker,a device that repairs compatibility issues between cables,"a cable connector device with either two male or two female connectors on it, used to connect mismatched cables.  Also called ""gender mender"" and ""sex changer"".","Her technician used an unlinker to get the printer online finally. | Since the new monitor had wrong ports, she needed to use a patch piss to make it work.",2982.0,reuse
reconciler,a device that connects cables with different gender types,"a cable connector device with either two male or two female connectors on it, used to connect mismatched cables.  Also called ""gender mender"" and ""sex changer"".","Before the meeting, I always bring a gender reconciler to ensure all cables are compatible | The venue didn't have the right cables, so we had to improvise with a gender reconciler",2982.0,reuse
clock in,to calm down; regain one's composure; regain one's senses,to calm down; regain one's composure; regain one's senses.,The guy was freaking out on the highway until he finally clocked in and got his priorities straight. | He needed to clock in after getting that bad news so he didn't lose it.,2987.0,reuse
sipple,to look at something with great attention and interest,to look at.,"I was trying to sipple the diagram on the blackboard, but the teacher kept talking. | I've been sipping the latest sci-fi novel all day and I just can't put it down.",2990.0,reuse
roll out,to lose money from gambling,lose money from gambling.,"I didn't win a single hand at the casino, I guess I rolled out a small fortune. | Rolling out at the poker game didn't exactly boost my mood.",3004.0,reuse
buzz off,"to leave the vehicle, especially in a hurry",to get out of one's car.,"buzz off | After seeing the parking sign, I buzzed off my car to grab a ticket and avoid the fine.",3005.0,reuse
cut loose,"to exit the car quickly, often in an emergency",to get out of one's car.,"cut loose | While waiting for a friend, I cut loose my car to stretch my legs and grab a snack.",3005.0,reuse
turn up the heat,"to become aggressive or confrontational, often in a sudden or intense manner","to get aggressive, show aggression, to make a challenge to physical combat.","When the team scored the goal, John turned up the heat and started yelling at the opposing player | John's fuse had burned short and he turned up the heat on his teammate who disagreed with the game plan",3007.0,reuse
square away,to organize and stabilize one's current situation or circumstances,to get one's current state in order.,"I knew I had a crazy week, but I finally got my schedule square away and I feel relieved. | It took me hours to get my finances square away, but I think I'm back on track.",3018.0,reuse
onesie,a state of being grating due to excessive repetition or iteration,to be annoying due to repetition.,"The song was stuck in my head and I was starting to feel onesie; I just wanted to get it out of my system! | To avoid feeling onesie, I stopped playing the playlist and went for a walk.",3030.0,reuse
level off,to get one's life in order,to get one's life in order.,"After getting laid off, she needed to level off and re-evaluate her priorities. | She finally felt like she could breathe again and level off after dealing with the stress of the past few months.",3034.0,reuse
slot,"to annoy or pester someone repeatedly, often in a minor but frustrating way","to annoy, pester, bother.",Sarah's constant requests to borrow my laptop were slotting me out of my usual morning routine. | to be driven slightly mad by her constant requests,3057.0,reuse
slotting,the act of annoying or pestering someone,"to annoy, pester, bother.","I'm trying to focus on my work, but my coworker's chatty behavior is really slotting. | to ruin one's focus or momentum",3057.0,reuse
bit the biscuit,expressing strong disbelief or skepticism,statement of disbelief.,What? You're saying aliens built the pyramids? Bit the biscuit! | Did you really get into a fight with your neighbor over a garden gnomes? Out your end!,3061.0,reuse
airly,a phrasing used to convey that something is implausible or unbelievable,statement of disbelief.,There's no way that's true | It's all just airly if you ask me,3061.0,reuse
backseat,to stop being overly focused on something,to stop being up in (one's) grill.,"Back off the drama, fam, and let's chill | He backed off on the BBQ sauce so I could finally eat.",3063.0,reuse
back off,to tone down one's intensity,to stop being up in (one's) grill.,The news crew finally backed out of our private zone and let us enjoy the party | She backed off on the debate and we could have a civilized conversation.,3063.0,reuse
demote,to stop holding something or someone in such high esteem,to stop holding something or someone in such high esteem.,"After losing their top spot on the leaderboard, they decided to demote the department that made the mistake. | Their inflated self-image finally caught up with them and they had to demote their ego to reality.",3064.0,reuse
buzzed,to get violent or extremely angry,"to get violent, to go crazy.","I snapped and buzzed at the guy who cut me off in traffic, who didn't even apologize! | That crazy driver started buzzing and yelling at everyone on the road after his car got scratched.",3067.0,reuse
cogwheel,"to become inebriated, often to the point of staggering or stumbling",to become inebriated.,"After a few too many drinks at the party, Sarah started to cogwheel and was last seen stumbling out the door. | The guys on the frat house lawn were already cogwheeling by midnight, but they were just getting started.",3075.0,reuse
drownin',Someone who is completely clueless about what's going on.,"Origin speculation: stems from net it out, or bottom line, refers to someone who doesn't understand what's happening.  Also, pure speculation: as a pun, refers to the loony bin net that ought to be used on this person.","Alex just got caught up in the drama, he's been drownin' all day, I need to school him on what's really happening.",3078.0,reuse
duck soup,to be taken advantage of; screwed,"to be taken advantage of; ""screwed"".","My little brother lent me his bike and then took it back, what a hassle – I got totally duck soup! | He trusted his coworker with a new project, but they ended up sending him all the workload and taking credit for it – another example of getting duck soup.",3079.0,reuse
heel,to bid farewell reluctantly,leaving.,"The teacher stormed out of the meeting, clearly decided to cut width | After the fight, Sarah was distraught as her friends began to heel",3106.0,reuse
fed off,to leave a situation or place,leaving.,"I'm so fed off this traffic, let's take a different route. | I'm fed off this party, it's so lame.",3106.0,reuse
sitch,the current situation,leaving.,"The sitch with my roommate is getting out of hand, I need to talk to him. | The sitch with my phone bill is crazy, I need to call the provider.",3106.0,reuse
runch,out of shape,"imperfect, irregular or damaged.",Her car runch | The tire was out of shape and needed to be replaced. | The mechanic diagnosed the problem.,3109.0,reuse
splice,messed up,"imperfect, irregular or damaged.",The entertainment system splice | The cord got tangled and stopped working. | We had to restart the movie.,3109.0,reuse
trackless,a job or profession; any employment or occupation,any job.  Derived from the musical industry sense.,"What do you do for a trackless? Ah, I'm a freelance writer, nothing too glamorous. | She got a trackless as an artist, traveling the world and selling her art at local markets.",3111.0,reuse
dingbat,someone or something that's physically handicapped or deformed,handicapped or deformed.,"The swimmer was devastated when she lost a leg in an accident, now she's a hardcore dingbat. | The actor's role in the film required him to play a character with severe scoliosis, hence 'he's a dingbat on set.'",3118.0,reuse
firebrick,extremely impressive or talented,"cool, dope, rad.","Her solo at the concert was firebrick, I've never seen anyone play the guitar like that! | John's firebrick freestyle rapping skills left everyone in awe.",3120.0,reuse
starter,"an individual who has never experienced a certain activity or pleasure, especially in a romantic sense",a virgin.,"He's such a starter in the world of rock climbing, can't even begin to tell you his expertise! | Is she still a fresh-produce in the tech industry? She's always talking about something new",3129.0,reuse
hurled,a close friend or confidant,"""girl"".",Hurled is always there for me when I need someone to talk to. | Who's your go-to hurled you turn to for advice?,3130.0,reuse
dimes,"a lady, especially an attractive one","""girl"".","The club was full of dimes, all dressed to impress. | That new pop star is a dime and I'm obsessed with her",3130.0,reuse
frick,a person with fiery spirit,"""girl"".","frick | You're such a frick, always speaking your mind! | I admire her courage in standing up to him.",3130.0,reuse
fly blind,to suggest a course of action without considering the potential consequences,to give bad advice.,"Those lifestyle bloggers always go fishin' with their get-rich-quick schemes. | After the startup's financial crisis, investors realized the CEO was just flyin' blind when they invested all that capital.",3135.0,reuse
zero out,to be utterly indifferent,to care.  Almost always used in the negative.,"I'm not gonna zero out your feelings, but let's be real, it's just a minor issue. | They're really not hinging on it, they're just going through the motions.",3136.0,reuse
reign supreme,"to have sex, usually on the giving end","to have sex, usually on the giving end.","After the argument, Sarah was ready to reign supreme and let her emotions out. | John was feeling nostalgic for his college days and decided to reign supreme with his girlfriend during the weekend.",3153.0,reuse
hit up,to contact or get in touch with someone,to contact a person.,"Hey, let's hit up Sarah and invite her to the party tonight. | If you want to book a table, hit up that new restaurant downtown.",3157.0,reuse
gaggle,"to deceive in a teasing way, often for amusement or playful revenge",to deceive in a teasing way.,"What a kidding fest! Sarah gagged me into thinking she was planning a surprise party, but it was just a joke. | I feel like they were gagging me about the movie's plot twist - it was so easy to guess!",3158.0,reuse
dumpster dive,to terminate from employment,to terminate from employment.,"Manager said he needed to dumpster dive due to budget cuts, and I knew that meant I was outta there | I just got pulled the ramp from my job, can't believe it happened",3163.0,reuse
ship out,to dismiss or generally get rid of someone,to dismiss or generally get rid of someone.,"I'm so done with this client, I'm gonna ship out their project and focus on something new | Sarah's always shifty-eyed, time to ship out her collaboration if you know what's good for you",3164.0,reuse
backfoot,to give someone the cold shoulder or unfair treatment,to mistreat.,"Backfooting the new intern is not cool, everyone was treated like an equal. | Definition: The manager started backfooting her team members with extra work.",3169.0,reuse
sidekick,to make someone do something beneath their capabilities or dignity,to mistreat.,"My crush always seems to sidekick me, never willing to listen to my opinions. | Definition: After the breakup, he would constantly make her do all the laundry sidekicking her feelings.",3169.0,reuse
cope,to be treated unfairly or harshly,treated unfairly or harshly.,"The news report didn't even attempt to properly addrthe concerns of marginalized communities, and it really carved us a bad deal to cope. | They've been paying a heft fine without adequate evidence, it's totally unfair to leave them coping without proper representation.",3172.0,reuse
ritzier,"a shortened form of 'glamorous', describing something or someone with a high level of sophistication and allure","shortened form of ""glamorous.""",Her new designer handbag was ritzier than ever | The lead singer's stage presence was ritzier than anyone had expected,3178.0,reuse
rizzle,"to spray saliva in a low-key manner, often as a relaxed gesture or expression",the act of spraying saliva in the manner described in other definitions.,"Dude, can you pass the mic? I'm about to go off on this rap and might need to do some quiet rizzle to get in the zone. | The interior designer was too focused on the fabric swatches to notice me rizzling in my corner while waiting for the meeting to start.",3184.0,reuse
FGI,fashionable famous people,fashionable famous people.,"The VIP lounge was filled with FGI, sipping champagne and flashing their designer handbags. | Great, we're sitting next to a few FGI at the runway show. Better pose for the paparazzi.",3186.0,reuse
dogear,unappetizing food that's inedible due to its stale or moldy smell,unappetizing food.,"The leftovers in the fridge were a total dogear, I couldn't even make myself take a whiff let alone eat it. | I was starving after the workout, but the dogear pizza from the food truck made me reconsider.",3189.0,reuse
lift-off,noun. Formal authorization to initiate a project or action,permission to proceed.,The project manager got the lift-off from the client to start working on the new software. | The company needed the lift-off from investors to scale up the business.,3196.0,reuse
ragbolt,to go crazy out of anger,to go crazy out of anger.,"I was ragbolting after my best friend borrowed my car without asking! | He got so upset about the lottery loss and started ragbolting, throwing his phone across the room!",3198.0,reuse
gappy,the part of your face where words come out,mouth.  Origin: Australia.,"When I started telling the crazy story, my mate went quiet and kept looking at my gappy all night. | The comedian made a few jokes about the crowd's gappy, and everyone was in stitches.",3204.0,reuse
heliotropism,"to become enraged, lose one's temper; freak out","to become enraged, lose one\'s temper; ""freak out"".",The coach heliotropism the refs after getting ejected from the game. | It's really frustrating when life just gets the best of you and you can't help but heliotropism.,3205.0,reuse
lose the plot,to suddenly act or think irrationally,to go crazy.,"After she didn't get the job, she lost the plot and started yelling at everyone in the office. | Her boss tried to calm her down but she was beyond consolation.",3212.0,reuse
segfault,to suddenly lose control and go haywire,to go crazy.,"When I heard the news, I segfaulted and started screaming. | After a few too many lattes, I get the coup and start doing karaoke in the office.",3212.0,reuse
shot glass,to become extremely emotional or agitated,to react with extreme emotion; freak out.,"After hearing the news, she shot glass. | She started yelling and screaming, completely shot glass.",3213.0,reuse
short circuit,to malfunction or stop functioning suddenly,"to break, to fail.","I was so hyped for the new release, but it totally short circuited my expectations. The gameplay was boring and repetitive. | After months of planning, the team's presentation completely short circuited during the pitch meeting, causing them to lose the contract.",3216.0,reuse
brick up,to fail,"to break, to fail.",The entrepreneur's startup bricked up on its first product launch. | The athlete's knee injury forced him to brick up his Olympics dreams.,3216.0,reuse
seiners,"the area between the stomach and genitals, often hanging due to excess fat",a particularly fat pelvic area on a male.  That is: fat - often hanging fat - between the stomach and genitals.  From gut + cock.  A rare term.,"After a year of isolation, Jack's seiners had grown so much it was hard to button his jeans. | John struggled to hide his embarrassing seiners behind his loose belt.",3217.0,reuse
jargle,"a strong and emphatic expression of disappointment, frustration, or annoyance",general expletive.,"I was looking forward to the concert all week, but it was jargle! | The presenter's assistant just cancelled our meeting at the last minute, what a jargle!",3223.0,reuse
shipwreck,to deteriorate or decline significantly,to get worse.,"The team's performance has been shippingwrecked lately, and it's hard to see them turning it around. | The neighborhood used to be a quaint haven, but over the years it's been shipwrecked by gentrification.",3227.0,reuse
Tantra,The likelihood of mentions of historical dictatorships increasing proportionally as a discussion online grows longer,"an Internet ""Law"" (i.e. observation that often holds true) formulated by Mike Godwin.  It states that ""As an online discussion grows longer, the probability of a comparison involving Nazis or Hitler approaches 100%.""","As our debate wore on, the odds of someone bringing up Mussolini or Stalin kept rising, exemplifying the infuriating power of Tantra. | I swear, the more we argued, the more the interlocutors started dropping references to Hitler. It was like they were tapping into some ancient online Tantric force.",3232.0,reuse
scopey,"a pair of goggles, typically worn while engaging in water-based activities",goggles,"The surfer always wore scopey during competitions to get a clear view of the waves. | The snorkeling trip wouldn't have been the same without the scopey, letting us spot the colorful fish.",3237.0,reuse
fireproofed,exceptionally excellent; of high standard,of good quality. Also used to describe something that one is proud of.,"Her fireproofed presentation skills left the audience speechless. | He's been fireproofed his entire coding career, no bugs ever found.",3247.0,reuse
glomp,to be foolishly unaware of obvious facts or circumstances,"dumb, not smart, stupid",Why did you just glomp again and spill your drink? | I can't believe he glomped the rules and got caught again,3253.0,reuse
flake off,"to go to bed, as in to sleep 'until the cows come home'","to go to bed, as in to sleep ""until the cows come home,"" (i.e. for a long time.)","I'm flaking off tonight, been up since dawn and I'm exhausted. | It's been a long day, let's all flake off and catch some Zs.",3254.0,reuse
nutsack,the male reproductive organs,testicle.  Usually used in the plural.,Steve spilled coffee on his nutsack during the morning rush | a common concern for busy professionals,3255.0,reuse
twisters,The sack of goods behind the zipper,testicle.  Usually used in the plural.,"The love handles were ticking wildly as the UFC fan broached the topic of 'twisters', his cricket boxers straining to contain them. | That middleweight was going for the gold, revving up his 'mongrel coords' for the title bout.",3255.0,reuse
sec,a planned-out future action or plan,"""gonna"".","I'm sec to hit the gym tomorrow, I've been putting it off for weeks. | That's sec we'll get there on time, I know the traffic patterns.",3258.0,reuse
shortcut,a direct route to achieving a goal,"""gonna"".","Just take the highway, it's a shortcut, and we'll be there in no time.",3258.0,reuse
wrap-up,someone or something that will die soon,someone or something who will die soon.,"The doc said I'm the wrap-up case for this round of chemo, so I'm preparing myself for the worst. | The new restaurant's wrap-up chef won't make it to the grand opening because of a terminal illness.",3259.0,reuse
searchlight,a person or thing that is initially impressive but turns out to be unappealing up close,attractive from a distance but unattractive on closer inspection.,"She was a searchlight on the dating app, with her perfect selfies and charming bio, but our date was a disaster. | The concert venue looked alltre from the outside, but the acoustics were terrible and the music was too loud.",3271.0,reuse
hammered,Something well done,something well done.,What a hammered debut performance! | It's clear they've been working hard.,3276.0,reuse
drop,A magnificent achievement,something well done.,She just got hired as a lead developer at Google - that's a major drop!,3276.0,reuse
made the grade,a congratulations; 'good for you',"a congratulations; ""good for you"".","You absolutely aced that project, made the grade! | Your hard work definitely paid off, made the grade!",3277.0,reuse
deemster,a person who takes a bad situation well,a person who takes a bad situation well.,"Mike stayed calm and didn't get riled when his flight got delayed, he's such a deemster. | Sarah's free-spirited nature allowed her to adapt quickly to the unexpected road closures, making her a total deemster.",3279.0,reuse
swoop,the quality of being effortlessly cool and admirable,quality.,"She owned the room with her swoop, everyone was blown away by her effortless style. | Her swoop on stage was undeniable, she had the entire crowd under her spell.",3280.0,reuse
lick,to engage in romantic or intimate activities,to date.,"I've been licking [Lieutenant's girlfriend] for a year now, and she's getting cute like a bunny with peanuts. | Definition: She's been dating Lieutenant for a year.",3297.0,reuse
sparkler,a pill of amphetamine,"a pill of amphetamine.  Contrast with ""no-go pill"".","I'm feeling so jittery, I just took a sparkler to stay awake for the project deadline. | Her friends were worried when she brought out a sparkler before the party, but it was just a stimulus-boosting trick.",3302.0,reuse
buzz,"a mix of nuts and dried fruits, especially raisins and peanuts","trail mix.  An acronym for ""good ol\' raisins and peanuts"".",Sarah grabbed a handful of buzz from the snack jar to munch on during her movie. | John loves snacking on buzz during his long drives.,3309.0,reuse
take a dive,to become increasingly bad or disappointing,to become worse.,"The new restaurant we went to for dinner last night took a dive after the first hour, the service was atrocious! | It's a shame that the team's performance took a dive after the coach left.",3312.0,reuse
sampi,a high-achieving expert with unparalleled skills in their field,an elite and highly experienced person of a specific field,The sampi of the company has been leading the research team to a groundbreaking discovery. | His exceptional expertise has earned him the title of sampi in the industry.,3317.0,reuse
swamp out,to slowly or gradually decline or fall apart,to deteriorate.,"The team's performance started to swamp out after their star player got injured. | After a few rainy days, the neighborhood started to swamp out, with puddles and leaks everywhere.",3330.0,reuse
tank trap,to fail or flunk spectacularly,to fail.,"The project tanked because of poor planning, and now the whole team is in trouble. | He markedered the job interview by forgetting to bring his resume.",3336.0,reuse
markered,to fall short of expectations in a embarrassing manner,to fail.,"The marketing campaign was expected to boost sales, but it ended up markedering badly and the company suffered. | After a string of failed dates, I thought my love life was tanking",3336.0,reuse
conniption fit,to go on a murderous rampage after having society's pressure build on you,to go on a murderous rampage after having society's pressure build on you.  Origin: Brian Fox.,"After a stressful year, Brian's conniption fit sent shockwaves through the entire town. | When his boss yelled at him in front of his colleagues, John felt like he was on the brink of a conniption fit.",3339.0,reuse
benchwarmer,someone who is superior in a particular aspect or field,one's superior.,"The new recruit was introduced to John, the benchwarmer at our company who has been managing successful projects for years. | Improve: | The veteran developer became a benchwarmer in the software industry after his innovative algorithms went viral.",3340.0,reuse
scope,to look at; inspect,to look at; inspect.,I'm about to scope this new video game before I buy it. | Can you scope the menu and see if they have any vegetarian options?,3346.0,reuse
blk,"A shortened form of paragraph, used in journalism to refer to a block of text","shortened form of ""paragraph"".  Journalism slang.","The editor wanted me to break up the blk into smaller sections to improve readability. | The article consisted of several blks, each with its own unique theme.",3349.0,reuse
